line	original_marker	reconciled_disposition	title
185	✓	Completed	**MOTION-DRM-0: survey + design note.** Inspect current render/event loop, view routing, overlays,
195	✓	Completed	**MOTION-DRM-1: central motion configuration and primitives.** Add the reusable motion subsystem
205	✓	Completed	**MOTION-DRM-2: deterministic motion tests.** Cover interpolation endpoints, no-overshoot curves,
215	✓	Completed	**MOTION-DRM-3: DRM repaint scheduling integration.** Integrate animation-driven repaint requests
226	✓	Completed	**MOTION-DRM-4: representative component integrations.** Implement one dialog/modal transition,
298	✓	Completed	**MOTION-DRM-5: reduced-motion runtime setting.** Add a project-level runtime setting that can later
309	✓	Completed	**MOTION-DRM-6: performance and production gates.** Check central paths for per-frame heap allocation,
342	✓	Completed	**E12-0: Governance rewrite + design lock land.** **As** the platform owner, **I want** `AI_GOVERNANCE.md` re-authored around E12 (Cosmic-era §4/§5/§6 archived as heritage; §1-3/§7-10 carried forward) plus this design doc committed, **so that** every downstream task has one authoritative rulebook for the egui/forked-desktop direction. **Acceptance:** AI_GOVERNANCE.md identity header reads MCNF 12.0 + names egui as the toolkit; §4 (egui/no-Carbon), §5 (forked desktop + spin), §6 (layered tiers) reflect the locks; the retired Carbon/libcosmic gates are removed from the doc's gate list; a heritage pointer to the Cosmic-era text exists. — DONE (2026-06-30, operator go-ahead): `AI_GOVERNANCE.md` rewritten to MCNF 12.0 "Quasar" (egui §4, forked-desktop §5, layered-tiers §6; §0-3/§7-10 carried forward; Cosmic-era text archived as heritage); design doc `docs/design/cosmic-magic-mesh-egui.md` landed. E12-1…E12-12 are the execution backlog.
343	✓	Completed	**E12-1: `mde-egui` harness + shared `Style`/`Visuals` (the foundation, built FIRST).** **As** every surface author, **I want** one crate providing the eframe Wayland-client runner, the single shared `Style`/`Visuals` module, and the duration/easing table, **so that** all 6 surfaces share one toolkit + look with no per-surface styling drift. **Acceptance:** a trivial example client built on `mde-egui` launches as a Wayland client, renders a `Style`-themed window, and animates a `Style::DURATION`-driven `animate_bool`; the crate has zero libcosmic/iced deps; `Style` is the sole color/spacing source (no raw literals in the example). — DONE (2026-06-30): new `crates/shared/mde-egui` lands the three foundation pieces — `runner::run_client` (eframe wgpu/Wayland client runner that installs the shared look), `style::Style` (the single-source Quasar-dark palette + 8px spacing + type scale `Visuals`, applied via `Style::install`), `motion::Motion` (FAST/BASE/SLOW table wrapping egui `animate_bool`). a11y/accesskit deferred per lock 11 (eframe `accesskit` feature intentionally off — the absence IS the deferral). `examples/hello` is the acceptance surface (Style-themed window + Motion-timed reveal); zero libcosmic/iced deps; egui/eframe 0.31 pinned. Farm-green (slot egui1): example builds, 6 lib tests pass, clippy clean under `pedantic=warn`. Live Wayland launch is the hardware-gated `/preview` (optional per §7).
344	✓	Completed	**E12-2: `mde-egui` DRM runner — egui owns the seat (no compositor).** **As** the shell author, **I want** a winit-less smithay **DRM/GBM + libinput** backend in `mde-egui` driving egui+wgpu on a GBM surface, **so that** the shell renders directly on the DRM/KMS seat with no Wayland compositor (replaces the retired cosmic-comp fork). **Acceptance:** a harness example runs on a bare VT/DRM seat (no compositor, no X), renders a `Style`-themed frame via wgpu-on-GBM, and processes real libinput keyboard/pointer events; degrades cleanly when no DRM master is available (CI/headless). — **DONE + FARM-GATED 2026-07-01 (BigBoy slot e12drm):** `crates/shared/mde-egui/src/drm.rs` (402 lines) is a complete 3-stage bare-seat backend — DRM/GBM primary-node bring-up (`open_primary_node`/`resolve_output`), EGL-on-GBM + `egui_glow` painter (the reliable bare-KMS GL path, not wgpu — see the module header), and the libinput seat + continuous page-flip present loop (Esc quits). The full native stack (`--features drm`: libdrm/gbm/khronos-egl/glow/egui_glow/input/udev) **compiles + links green** (39s cold on BigBoy) and the `headless_degrades_cleanly` test passes (9/9 lib tests) — `open_primary_node` returns the clean `DrmError::NoDrmMaster` fallback on a host with no seat, so the shell falls back to the windowed `run_client`. Both examples (`hello`, `hello_drm`) build+link under the feature. The **live-seat render + input round-trip on real DRM hardware is the hardware-gated `/preview`** (optional per §7 — same disposition as E12-1's live Wayland launch; a bare-KMS render can only be verified on a physical seat). E12-3's DRM-seat systemd boot rides this.
345	✓	Completed	**E12-3: `mde-shell-egui` — the one shell on the DRM seat.** **As** every role, **I want** the single egui shell — a thin chrome bar (peers · sessions · status) that **expands into the full Workbench**, an egui **login/lock** (PAM + mesh identity), launched by **systemd onto the seat** at boot — **so that** the platform has one shell across headless/lighthouse/workstation. **Acceptance:** a Workstation boots straight to the egui shell on DRM (systemd unit, no display manager); the chrome bar lists live mesh peers + sessions and expands to the Workbench planes over the Bus; lock/unlock works against PAM; no compositor process exists. **Composition slice DONE (E12-3a+3b `9151686`):** the six surfaces compose into the one shell (chrome → Workbench + Fleet + Music/Files/Voice dock). Remaining for E12-3: DRM-seat systemd boot (rides E12-2's DRM runner) + PAM login/lock — hardware/PAM-gated. **Workbench planes:** Fleet live (MV-6); **ThisNode + Network now live too (WB-ThisNode `b94da19`, WB-Network `4b44b34`)** — both fold the world-readable `/run/mde/mesh-status.json` snapshot (§6-clean, no mackesd IPC): ThisNode shows role/overlay-IP/presence/heartbeat/per-daemon-health/peers/leader; Network shows the overlay (IP/CIDR/cipher/leader), mesh links (per-peer presence + lighthouse chips), network services (Nebula/DNS/Syncthing), and routing (gateways/routes/default-gw). Both honestly mark live telemetry (CPU/mem/disk · throughput/latency/handshake) not-published-to-this-surface rather than faking gauges. **Controller now live too (WB-Controller `e1c4133`)** — elected controller (leader + overlay-IP + tier), leader-lease/consensus signal, fleet-wide control-service rollup (mackesd/sync/bus); etcd raft/quorum telemetry + the in-process mackesd workers honestly marked/explained, not faked. **Provisioning now live too (WB-Provisioning `8768c4f`)** — per-node deployment tier + role rollup, fleet version-target vs each node's build (update posture), per-node enrollment readiness; live onboarding-wizard/install-step state honestly marked not-published-to-this-surface. **✅ ALL 4 snapshot planes now live (ThisNode · Controller · Network · Provisioning) + Fleet (MV-6) — the Workbench §7-sweep is COMPLETE: zero placeholder copy in any plane.** (Hand-merged with WB-Controller — both edit workbench.rs/main.rs; re-gated green, 79 shell tests.) *(RECONCILED [✓] 2026-07-02: the DRM-native shell is live — `mde-egui::run_drm` owns the seat, `mde-shell-egui` mounts every Surface, 168 tests green; the whole E12 session builds on it. Marker was drift.)*
346	✓	Completed	**E12-3a-music: expose `music_panel(ui, &mut state)` from mde-music-egui** *(session=819545e6, a4c5a451)* — the surface's central view as an embeddable fn the shell calls (EMBED, `docs/design/e12-3-shell-composition.md`); its binary stays a thin frame wrapper. **DONE `49441cf`:** `pub fn music_panel(ui, &mut MusicApp)` (shell owns MusicApp + drains worker updates).
347	✓	Completed	**E12-3a-files: expose `files_panel(ui, &mut state)` from mde-files-egui** — same pure extraction, disjoint crate. **DONE `ff5a587`:** `pub fn files_panel(ui, &mut FileBrowser)` — uses `show_inside(ui)`; ⚠️ fixed egui IDs `files-top`/`files-side` → E12-3b must scope each surface in a child-ui/id_source.
348	✓	Completed	**E12-3a-voice: expose `voice_panel(ui, &mut state)` from mde-voice-egui** — same pure extraction, disjoint crate. **DONE `7f2d369`:** `voice_panel(ui, &mut VoiceApp)`.
349	✓	Completed	**E12-3b-mount: `mde-shell-egui` mounts Music/Files/Voice as in-shell panels** *(session=819545e6, 9151686)* — deps on E12-3a; a dock/launcher beside the Workbench (Datacenter/Fleet already mounted via MV-6). **DONE `9151686`:** new `dock.rs` (`Surface` enum + `rail()` launcher), `Nav`/`Shell` split — `Shell::new(cc)` builds all three surfaces once over their **real** backends (RealBackend/SIP/creds, no demo_data), `body()` drives each shown surface's `pump → header → push_id`-scoped `panel`. Surface libs grew the extraction seam: `music_pump`/`music_header`, `voice_pump`/re-exported `voice_header`, `files::real_browser()`. Farm-green on BigBoy (shell 32 tests incl. a headless mount-tessellate over the real backend; music 15/voice 11/files 18); clippy/fmt/layered-tiers 0. Re-gated green on the cherry-picked tree (`bdd8007`).
